Codierer,TV-Show-Name,Veroeffentlichung,Beitragtitel,Laenge,Konfliktlaenge,Sprechername,Sprecherrolle,Beschuldigter,Kommentar
MAR,MLA,20241029,Markus Lanz vom 29. Oktober 2024,74,7,Kai Ambos,JUR,NOK,"""Völkerrechtsverletzung Nordkoreas, weil es Beihilfe leistet zu einem Angriffskrieg."""
MAR,MLA,20241029,Markus Lanz vom 29. Oktober 2024,74,7,Marcus Faber,POL,DEU,"Wirft der deutschen Bundesregierung vor, zu wenig zun tun (als Antwort auf Soldaten aus Nordkorea, die jetzt Russland unterstützen). Deutschland müsste mehr Waffen & Panzer liefern."
JAC,MLA,20241029,Markus Lanz vom 29. Oktober 2024,74,7,Marcus Faber,POL,RUS,"Kurz vor dem Angriffskrieg gab es Stimmen ""Putin greift doch nicht an"", Waffenlieferung Deutschlands an die Ukraine wird als Erfolg gesehen"
JAC,MLA,20241029,Markus Lanz vom 29. Oktober 2024,74,7,Marcus Faber,POL,RUS,"""Diktaturen unterstützen sich"""
JAC,MLA,20241029,Markus Lanz vom 29. Oktober 2024,74,7,Marcus Faber,POL,NOK,"""Diktaturen unterstützen sich"""
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Elmar Thevessen,JOU,DEU,"""Jetzt recht sich, dass man kein Narrativ geschaffen hat, warum es wichtig ist die Freiheit
zu verteidigen in Europa."" (bezogen auf die deutsche Regierung)"
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Markus Lanz,MOD,USA,"""Das ist Teil eines dreckigen, politischen Spiels."" (bezogen darauf, dass die Amerikaner ihre Unterstützung der Ukraine nicht weiter anbieten"
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Elmar Thevessen,JOU,DEU,"""Man hat in vielen Punkten, Dinge unterschätzt."" (gerichtet an USA & Deutschland)"
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Elmar Thevessen,JOU,USA,"""Man hat in vielen Punkten, Dinge unterschätzt."" (gerichtet an USA & Deutschland)"
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Anna Lehmann,JOU,DEU,"Wenn man Tino Chruppala & Sahra Wagenknecht zuhört, ist das genau das: 
Wieso sollen wir uns der Ukraine an den Hals werfen? Wir haben doch viel wichtigere 
Probleme."" (bezogen darauf, dass Deutschland sich um wichtigere Dinge als die Ukraine-Unterstützung kümmern sollte)"
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Anna Lehmann,JOU,DEU,"Das Signal ist ja eigentlich an Putin: Wir wollen eine Verhandlungslösung um
jeden Preis, wir fahren die Waffenlieferungen zurück und dann kann man auch 
gleich sagen: 'Nimm dir was du brauchst, lieber Putin, wir bauen hier schon mal ab.'"
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Anna Lehmann,JOU,USA,"Das Signal ist ja eigentlich an Putin: Wir wollen eine Verhandlungslösung um
jeden Preis, wir fahren die Waffenlieferungen zurück und dann kann man auch 
gleich sagen: 'Nimm dir was du brauchst, lieber Putin, wir bauen hier schon mal ab.'"
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Dietmar Bartsch,POL,EUR,"""Ich frage mich, wieso bisher aus Europa kein Vorschlag für eine
Friedensinitiative kam."" (bezogen darauf, dass Länder wie China solche Vorschläge 
brachten)"
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Elmar Thevessen,JOU,PUT,"Alle öffentl. Äußerungen von Putin zeigen, er geht von seinen Maximal-Vorderungen
kein Jota ab. (bezogen darauf, ob Verhandlugnen mit Russland etwas bringen würden)."
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Elmar Thevessen,JOU,RUS,"Es gibt Initiativen, es gibt Angebote, es gibt von der russischen Seite null 
Bereitschaft dem in irgendeiner Weise entgegen zu kommen."
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Dietmar Bartsch,POL,EUR,"""Aus Deutschland und auch aus Europa gibt es leider keine Friedensinitiative-."""
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Dietmar Bartsch,POL,DEU,"""Aus Deutschland und auch aus Europa gibt es leider keine Friedensinitiative-."""
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Elmar Thevessen,JOU,PUT,"Dieser Mann (Putin), ist der, mit dem ganz klar keine Lösung zu findet ist, solange er nicht beeit ist von diesen Maximalvorderungen abzutreten."""
MAR,MLA,20231214,Markus Lanz vom 14. Dezember 2023,76,35,Dietmar Bartsch,POL,DEU,"""Wir (Deutschland heucheln doch."" (darauf bezogen, dass Deutschland immer noch über Umwege Gas aus Russland bekommt)"
MAR,MLA,20231212,Markus Lanz vom 12. Dezember 2023,74,22,Roderich Kiesewetter,POL,OLA,"""Was der Bundeskanzler als Kriegsziel ausgibt 'Die Ukraine darf nicht verlieren
und Russland darf nicht gewinnen' ist zu wenig, dass die Ukraine bestehen kann."""
MAR,MLA,20231212,Markus Lanz vom 12. Dezember 2023,74,22,Michael Thumann,JOU,EUR,"""Er (Putin) hat die Produktionskapaziten für Munition und für Rüstungsgeräte
hat er erheblich erhöht; wesentlich stärker als uns das bisher in Europa gelungen ist."""
MAR,MLA,20231212,Markus Lanz vom 12. Dezember 2023,74,22,Roderich Kiesewetter,POL,DEU,"""Was der Reinmetall-Chef sagt 'Wir könnten mehr (leisten und liefern), aber wir
bekommen die Aufträge nicht, wir bekommen nicht die Finanzierungszusagen.'
Und somit besteht der Eindruck, dass die (deutsche) Regierung nicht voll und ganz
hinter der Unterstützung der Ukraine steht und sehenden Auges die Ukraine einen Diktatfrieden
akzeptieren muss, den dann aber die Leute nicht akzeptieren."""
MAR,MLA,20231212,Markus Lanz vom 12. Dezember 2023,74,22,Roderich Kiesewetter,POL,DEU,"Es (das Problem, dass Deutschland wahrschl. noch mehr ukrainische
Flüchtlinge aufnehmen muss) lässt sich nicht regeln, weil wir zu wenig tun."
JAC,MLA,20241126,Markus Lanz vom 26. November 2024,76,31,Hubertus Heil,POL,RUS,"""Deutschland ist der größte Materielle Unterstützer der Ukraine. Wir müssen diese Unterstützung dauerhaft durchhalten. Wir wollen investieren über 2% des BIP"""
